compound	D1_Cell_1	D1_Cell_2	D1_Cell_3	D2_Cell_1	D2_Cell_2	D2_Cell_3	D3_Cell_1	D3_Cell_2	D3_Cell_3	DT_Cell_1	DT_Cell_2	DT_Cell_3	D_WT_Cell_1	D_WT_Cell_2	D_WT_Cell_3	D1_Media_1	D1_Media_2	D1_Media_3	D2_Media_1	D2_Media_2	D2_Media_3	D3_Media_1	D3_Media_2	D3_Media_3	DT_Media_1	DT_Media_2	DT_Media_3	D_WT_Media_1	D_WT_Media_2	D_WT_Media_3
cytosine	-7.42741331	0.89739097	1.821829627	-1.79979773	-0.715066514	-2.220478722	-0.291714724	-1.356317095	1.367166829	6.331061408	3.973102581	12.29023107	-3.320314258	4.033289679	3.039585902	52.85883343	78.14988697	41.38837895	53.4108758	43.7795825	58.85136667	13.77003742	29.3492523	39.83441138	28.28030467	21.08899007	20.92415538	43.83246755	31.32538169	47.4511131
dAMP	224.8970418	192.5491126	203.1008115	160.62472	87.4070571	150.1225907	102.7880757	100.2740654	94.03549586	138.3713037	191.9228616	195.4801855	69.28982374	129.9027025	119.8596371	52.57532743	22.2678877	51.03851064	19.08097999	18.71036756	22.29604849	19.44604852	14.67256017	15.60243407	42.14700311	24.23436524	21.78420329	7.631720786	8.761178121	8.941234545
deoxyguanosine	-3.089161249	-2.391210241	-2.53168298	-1.380530894	-1.386602477	-1.61110575	2.315755886	-1.198269482	-1.333213932	-1.487486599	1.636761883	3.334089653	-1.727740064	-1.746376731	-2.133957168	47.62612272	35.81129366	47.36920718	19.36169785	19.64831647	25.82346731	19.7035976	7.240620819	12.4753195	10.84823336	6.385869247	5.079607834	15.68333702	9.738559437	13.37080534
deoxyribose-phosphate	6.257937197	0.56005339	2.812632498	1.03705937	0.966960984	-0.904076853	0.672835094	2.004325219	2.72985609	2.751556344	2.45894758	2.895516363	-0.96952655	0.540253937	3.901102123	66.81531776	66.16514811	76.29714083	49.96292055	23.06048418	42.78168635	27.91071743	21.87048403	21.96786016	33.69242635	26.91269284	10.46608911	33.40384341	30.70624598	59.08355584
deoxyuridine	111.2653966	164.8370129	115.3309819	51.54854755	62.42918659	77.98052755	59.49469298	93.18120533	35.09719197	77.72459431	113.2953749	107.7374477	38.1932332	58.33657303	89.34129019	406.1908611	291.4041832	275.4762081	140.4509685	136.7174104	143.4801939	116.1128668	111.6003806	90.86710146	84.04545062	83.0666443	119.59946	111.3546469	125.7108338	152.4822774
dGDP	305.5362452	239.6319907	141.6427522	155.2021196	201.10079	205.9702058	126.523837	133.5454121	152.2215204	318.294883	396.7265865	256.8362702	121.6986837	263.461505	237.8059946	-8.167524859	-3.360406231	-4.994344862	-3.650026492	-1.773396831	-2.993450687	-3.497678079	-3.168140149	-3.524923774	-2.059185831	-2.169207145	-2.001246047	-2.452037992	-2.919284494	-2.992292383
D-gluconate	7.450881615	9.03819924	5.183629996	23.03936968	16.923797	25.30584751	21.62136412	21.7467188	25.26715759	11.35424061	14.3886219	20.06498496	12.08192367	10.1603182	8.692387851	69.39383533	79.61647874	125.5729308	41.07520745	55.04801871	54.05508633	32.38294792	37.01232337	33.49106186	36.86038811	33.41038883	29.83506806	50.517779	44.10498271	57.11156173
dGMP	196.7463387	153.8664341	98.03164831	70.94156025	126.1722836	86.26982289	80.0310722	86.84313882	110.6487829	278.6599103	399.2118917	238.1879675	52.39604469	144.6675211	180.9345414	-6.704722677	-5.189888204	-5.494770561	-2.996307427	-3.009485203	-3.496747624	-2.871244586	-0.015279658	-2.893610582	-3.228444334	-3.331863356	-3.029823636	-3.749891008	-0.481319995	-4.631545544
dihydroxy-acetone-phosphate	162.2805533	174.3541413	112.439689	138.9439633	68.22226132	107.629474	167.6178599	145.2424634	178.9701066	44.6418291	36.49447435	113.6498007	73.68113204	43.88345507	259.1074326	7.708145277	5.68848646	2.494216982	1.144789376	0.572322164	0.74519428	1.437808134	1.720059027	3.802054126	2.101715979	-0.652763776	-0.545352209	3.840436006	-0.107454861	3.27022804
dimethylglycine	249.7766073	198.2253595	186.0723789	238.6961471	163.196562	244.4337642	207.4436911	178.783636	244.8258944	230.1253704	295.192236	287.421348	200.773294	199.522381	209.1092147	17.48549598	32.84744697	34.77217468	12.06700038	7.928586984	21.46688459	15.81341852	12.01179073	13.90632161	20.0809088	29.04870487	9.452203334	12.52853579	10.782559	18.67634101
D-Phenyllactic acid	22.97064354	23.60323775	42.17780208	30.10658204	14.60260752	13.42084655	11.62035792	19.07744871	5.768353122	15.21484003	16.07531432	19.84688921	50.28095945	22.05979929	20.52339439	-7.955810791	6.211821374	5.170125868	-1.88761814	2.267573188	-2.26208738	-2.633273037	1.203047065	-1.561498084	-3.737577229	-2.716154594	-2.177046418	4.378617107	-0.718561259	-4.876981278
folate	37.62318779	23.45748043	13.48857776	4.825163746	6.972209802	3.97394511	13.41911492	5.791678871	16.61134755	13.52399948	19.62686097	38.11272835	8.846600079	5.093598798	32.69308231	292.5385771	280.4699793	294.0071454	162.2497199	146.6089065	182.9996804	124.8829833	118.923942	126.9081744	134.1789317	137.4757567	109.1691728	152.3231867	157.3204408	220.6376807
fructose-1-6-bisphosphate	300.0621938	328.9731539	212.1009263	119.0651366	111.4955397	133.9721236	240.8496364	186.1611496	231.2370971	79.33518325	88.6740274	172.3494998	54.18153124	47.92267265	232.2455952	-79.09883929	-58.69055472	-67.58429565	-40.04263579	-40.86378262	-46.85314271	-39.25005224	-34.36846916	-40.07821139	-35.73082797	-43.46128571	-40.20683871	-27.72153969	-31.05596043	-57.81805179
fumarate	155.6419081	177.9903871	174.4991594	302.9479343	187.547996	224.3343808	287.9735152	309.381473	414.060235	127.2046819	164.8455717	150.5265863	155.3213494	157.592434	171.1081822	9.011052295	32.59037469	28.8148991	14.75710169	-2.359714516	21.78644371	17.7275499	5.685582094	12.16964764	5.171527134	11.0671527	-1.682087642	8.100457162	13.52432029	28.30268006
Galacturonic acid	-4.460032035	3.744125044	2.830547065	4.976382459	2.240902009	4.264482338	6.80597205	4.985278803	9.332186246	7.448199107	2.846040138	8.452232166	0.924967737	1.655513703	2.569295162	43.26578937	33.6421121	33.80205995	24.79644731	17.24312897	27.65505844	17.47480016	7.058384002	14.89579238	13.25262935	18.21954241	5.626364039	27.33000549	20.04400129	32.41675632
Gluconolactone	440.9015935	306.3246394	335.6140911	186.4337798	186.5020425	190.2398473	179.6223081	170.4198097	203.1847004	176.7449583	204.7952607	206.4705919	374.5527906	186.3081932	296.724943	658.8312118	487.7599926	489.6604985	284.2198228	260.6229924	302.911087	246.2649622	213.5812913	258.5827802	282.0235054	327.9732686	276.209762	321.6507737	272.806126	403.4705931
glucosamine-6-phosphate	13.4774646	9.038242186	10.75992548	16.50012112	6.081078641	12.66158981	11.48873229	16.19527488	8.146061631	6.038746782	14.30604767	19.84342936	5.741632733	12.65470748	8.158323679	7.218473273	6.978829544	12.70160992	3.509295649	8.142105835	3.884188464	4.114275287	6.493337962	2.938769373	3.787427265	4.066953227	2.926830491	5.045820175	3.92834398	10.0406364
Glucose	1368.472635	1126.410977	1081.262841	1385.246543	938.4193105	1309.528658	877.1154931	844.8667775	1109.439121	796.3912688	1007.720677	1109.842314	983.1793272	1097.543797	1224.420281	2021.648762	1853.809961	2265.317284	1169.953568	1018.448562	1217.326215	961.1962157	860.3492241	928.8674817	848.7629524	916.3980707	607.9843254	1014.779439	1011.696992	1343.84389
glucose-1-phosphate	120.2762269	125.1998688	119.7161405	66.65112908	40.80954375	77.33654821	72.9507296	99.34876378	80.7432955	23.02355695	36.3549942	43.07028881	107.3510561	64.04566926	75.45178916	-7.110397014	-5.503906331	0.482056447	-3.177601283	-3.19157639	-3.708320994	-3.04497142	-2.75808579	-3.068690687	-0.16162525	-0.44703125	-3.213145415	-3.97678101	-1.161114701	-0.301314139
glutamate	11369.25558	10435.06984	9170.080354	11794.47319	8765.531548	11561.01185	10113.36196	9237.847432	12463.96393	11150.369	13460.56747	14401.56668	10212.34084	9900.100006	9665.376315	1498.028718	1011.681715	1576.454439	614.2448573	593.4227279	705.9262968	647.15612	435.802734	465.0210925	1115.9865	1231.681651	799.0849455	481.3539053	484.0689072	631.9967101
glutamine	6747.892929	5803.813654	5510.426528	3706.096031	2538.430143	4063.376641	2316.318977	2659.169936	2800.467295	4312.128653	4648.115247	4596.148688	2338.086273	3270.594645	4112.450805	16159.74648	13168.62756	16434.43753	7761.105278	7181.999569	8611.220767	7066.368806	5577.897179	6134.371108	6265.109757	6754.373753	4555.534139	8103.667383	8204.112171	10546.38693
glutathione	2073.868958	2032.486575	2105.038063	2223.554044	1315.607807	2386.864251	1720.635395	2232.26941	2162.565781	843.4196751	1005.114915	1047.389407	1209.463814	1545.096556	1502.681857	-56.73792783	-47.39663856	-44.87389895	-20.95699453	-32.32790957	-38.0731372	-29.6028434	-23.58494769	-27.78453271	-20.63599135	-32.86834897	-22.83529496	-16.57091383	-13.78828413	-28.90883427
Glyceraldehyde-3-phosphate	38.90234911	114.0769619	142.4259006	111.7515461	236.1617608	97.46697891	53.23686806	28.57278745	50.08042862	126.0089222	84.82218073	110.3507859	183.3658474	82.91839374	67.6281227	-5.975152447	-5.723444167	4.459272209	1.979455181	0.121427329	5.564912038	-0.152343608	-0.371790653	1.038460636	-0.128231603	0.827727407	-1.781721224	2.484991655	-0.554273879	-0.432770193
glycine	200.0767297	184.6952667	208.5885344	207.3018134	124.1513005	176.9284333	108.8347532	148.6470724	166.4337294	247.9545857	266.8371547	289.7611076	143.7221255	151.2309243	163.0155099	251.4466296	268.6851951	277.3213175	155.2044502	143.4115028	156.9135982	116.7225739	106.1386562	129.4262439	123.3965773	134.4555525	94.25743021	133.6544712	174.7426188	179.845679
histidine	133.9702324	110.7773237	70.84270078	75.13140209	63.85570867	92.63762577	70.60297015	66.52067779	103.2829196	117.2025902	142.3777988	133.2279751	60.65736041	50.03146646	77.56899814	643.4429945	603.6324236	657.9711298	325.922666	328.6407747	370.7731297	265.1370374	205.2871058	255.8225868	253.3435456	294.2168124	208.962309	332.6487329	328.0058075	424.6124058
Hydroxyphenyllactic acid	37.10677413	35.94648636	40.13608705	39.93676534	32.0369422	42.03053144	23.36203002	19.40568158	30.12651645	78.08909265	90.3257326	93.89188979	32.59601323	26.97123293	25.78293961	103.5615788	135.3470519	133.5571896	49.7442869	62.13866747	70.77123441	56.44758324	41.12315382	53.86299216	64.08320949	54.14928622	30.70589666	51.72533525	51.14456207	71.45429871
